NLOC,CCN,TOKEN,PARAM,LENGTH,FULL_LOCATION,FILE,FUNCTION_NAME,FUNCTION_HEADER,B_LINE,E_LINE
24,5,184,1,33,"main@17-49@.\stressfs.c",".\stressfs.c","main","main( int argc , char * argv [ ])",17,49
9,3,82,3,9,"memset@5-13@.\string.c",".\string.c","memset","memset( void * dst , int c , uint n)",5,13
12,3,66,3,14,"memcmp@16-29@.\string.c",".\string.c","memcmp","memcmp( const void * v1 , const void * v2 , uint n)",16,29
16,5,89,3,18,"memmove@32-49@.\string.c",".\string.c","memmove","memmove( void * dst , const void * src , uint n)",32,49
4,1,26,3,4,"memcpy@53-56@.\string.c",".\string.c","memcpy","memcpy( void * dst , const void * src , uint n)",53,56
8,5,63,3,8,"strncmp@59-66@.\string.c",".\string.c","strncmp","strncmp( const char * p , const char * q , uint n)",59,66
10,3,60,3,11,"strncpy@69-79@.\string.c",".\string.c","strncpy","strncpy( char * s , const char * t , int n)",69,79
11,3,61,3,12,"safestrcpy@83-94@.\string.c",".\string.c","safestrcpy","safestrcpy( char * s , const char * t , int n)",83,94
7,2,30,1,8,"strlen@97-104@.\string.c",".\string.c","strlen","strlen( const char * s)",97,104
8,3,55,2,9,"fetchint@18-26@.\syscall.c",".\syscall.c","fetchint","fetchint( uint addr , int * ip)",18,26
14,4,91,2,15,"fetchstr@32-46@.\syscall.c",".\syscall.c","fetchstr","fetchstr( uint addr , char ** pp)",32,46
4,1,33,2,4,"argint@50-53@.\syscall.c",".\syscall.c","argint","argint( int n , int * ip)",50,53
11,5,84,3,12,"argptr@59-70@.\syscall.c",".\syscall.c","argptr","argptr( int n , char ** pp , int size)",59,70
7,2,38,2,7,"argstr@77-83@.\syscall.c",".\syscall.c","argstr","argstr( int n , char ** pp)",77,83
13,4,86,1,14,"syscall@132-145@.\syscall.c",".\syscall.c","syscall","syscall( void)",132,145
14,7,90,3,15,"argfd@22-36@.\sysfile.c",".\sysfile.c","argfd","argfd( int n , int * pfd , struct file ** pf)",22,36
12,3,65,1,13,"fdalloc@41-53@.\sysfile.c",".\sysfile.c","fdalloc","fdalloc( struct file * f)",41,53
11,3,57,1,12,"sys_dup@56-67@.\sysfile.c",".\sysfile.c","sys_dup","sys_dup( void)",56,67
9,4,68,1,10,"sys_read@70-79@.\sysfile.c",".\sysfile.c","sys_read","sys_read( void)",70,79
9,4,68,1,10,"sys_write@82-91@.\sysfile.c",".\sysfile.c","sys_write","sys_write( void)",82,91
10,2,52,1,11,"sys_close@94-104@.\sysfile.c",".\sysfile.c","sys_close","sys_close( void)",94,104
8,3,62,1,9,"sys_fstat@107-115@.\sysfile.c",".\sysfile.c","sys_fstat","sys_fstat( void)",107,115
39,8,225,1,47,"sys_link@119-165@.\sysfile.c",".\sysfile.c","sys_link","sys_link( void)",119,165
12,4,87,1,13,"isdirempty@169-181@.\sysfile.c",".\sysfile.c","isdirempty","isdirempty( struct inode * dp)",169,181
43,11,272,1,55,"sys_unlink@185-239@.\sysfile.c",".\sysfile.c","sys_unlink","sys_unlink( void)",185,239
33,10,235,4,42,"create@242-283@.\sysfile.c",".\sysfile.c","create","create( char * path , short type , short major , short minor)",242,283
43,12,254,1,48,"sys_open@286-333@.\sysfile.c",".\sysfile.c","sys_open","sys_open( void)",286,333
13,3,70,1,14,"sys_mkdir@336-349@.\sysfile.c",".\sysfile.c","sys_mkdir","sys_mkdir( void)",336,349
17,5,97,1,18,"sys_mknod@352-369@.\sysfile.c",".\sysfile.c","sys_mknod","sys_mknod( void)",352,369
22,4,114,1,23,"sys_chdir@372-394@.\sysfile.c",".\sysfile.c","sys_chdir","sys_chdir( void)",372,394
23,8,161,1,24,"sys_exec@397-420@.\sysfile.c",".\sysfile.c","sys_exec","sys_exec( void)",397,420
